@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute Brazil_Now numeric
@attribute Brazil_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_High numeric
@attribute UK_10_YEAR_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute TA_Now numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2013-01-17, 1974.27, 1.892, 1.899, 1.906, 1.882, 170.32, 170.12, 170.63, 169.91, 61787.35, 61241.06, 1514.86, 1515.25, 1517.32, 1507.34, 1.999, 2.015, 2.028, 1.979, 136.58, 136.37, 136.79, 136.18, 1.819, 1.819, 1.819, 1.819, 61881.0, 61855.0, 61385.0, 8581.1, 8588.9, 8604.0, 8525.5, 17339.95, 17429.49, 17450.39, 17195.88, 1058.8, 1057.57, 1060.5, 1056.25, 1208.65, 1208.99, 1211.39, 1199.89, 12608.82, 12602.47, 12638.42, 12580.32, 2505.32, 2487.98
2013-01-18, 1987.85, 1.9509999999999998, 1.89, 1.954, 1.8780000000000001, 170.2, 170.23, 170.5, 169.86, 62194.06, 61683.11, 1523.74, 1514.86, 1524.94, 1513.64, 2.04, 1.995, 2.059, 1.989, 136.47, 136.52, 136.72, 136.26, 1.8840000000000001, 1.8840000000000001, 1.8840000000000001, 1.8840000000000001, 62459.0, 61955.0, 61760.0, 8628.9, 8568.4, 8664.9, 8565.9, 17587.35, 17343.98, 17587.35, 17323.9, 1057.99, 1058.53, 1059.97, 1056.58, 1207.67, 1206.98, 1208.54, 1203.91, 12674.73, 12614.3, 12684.07, 12608.82, 2532.43, 2508.83
2013-01-21, 1986.86, 1.921, 1.962, 1.963, 1.906, 170.28, 170.17, 170.34, 169.7, 61956.14, 61822.46, 1540.55, 1523.74, 1542.09, 1523.73, 2.017, 2.073, 2.073, 2.012, 136.515, 136.45, 136.575, 136.07, 1.84, 1.84, 1.84, 1.84, 62075.0, 62600.0, 61950.0, 8604.0, 8662.3, 8679.8, 8600.7, 17554.13, 17696.74, 17709.05, 17483.31, 1058.35, 1058.17, 1058.75, 1055.25, 1200.34, 1197.585, 1200.985, 1191.495, 12725.69, 12701.96, 12751.16, 12675.61, 2546.09, 2532.25
2013-01-22, 1996.52, 1.9369999999999998, 1.925, 1.94, 1.92, 171.08, 170.22, 171.13, 170.06, 61899.71, 61804.24, 1537.66, 1540.57, 1542.79, 1533.27, 2.056, 2.019, 2.062, 2.0180000000000002, 137.275, 136.47, 137.295, 136.33, 1.8415, 1.8415, 1.8415, 1.8415, 62095.0, 62210.0, 61960.0, 8665.9, 8628.3, 8665.9, 8608.9, 17631.99, 17595.05, 17638.38, 17480.33, 1064.35, 1058.5, 1064.55, 1057.5, 1193.01, 1188.19, 1193.43, 1179.08, 12794.25, 12748.12, 12798.92, 12725.69, 2549.62, 2541.02
2013-01-23, 1980.41, 1.913, 1.931, 1.964, 1.9080000000000001, 171.01, 171.0, 171.78, 170.56, 61692.29, 61534.06, 1525.36, 1537.68, 1540.01, 1517.01, 2.024, 2.059, 2.069, 2.016, 137.185, 137.21, 137.825, 136.82, 1.8430000000000002, 1.8430000000000002, 1.8430000000000002, 1.8430000000000002, 61798.0, 62015.0, 61635.0, 8632.1, 8655.0, 8675.4, 8588.5, 17715.9, 17632.13, 17764.69, 17394.24, 1063.66, 1064.7, 1068.65, 1061.75, 1198.83, 1196.31, 1204.06, 1190.445, 12824.63, 12774.71, 12824.63, 12758.64, 2552.18, 2532.17
2013-01-24, 1964.48, 1.8780000000000001, 1.903, 1.916, 1.855, 171.63, 170.87, 171.69, 170.87, 61966.26, 61542.52, 1537.49, 1525.28, 1538.04, 1523.81, 1.989, 2.004, 2.0340000000000003, 1.982, 137.65, 137.07, 137.69, 137.06, 1.828, 1.828, 1.828, 1.828, 62134.0, 61900.0, 61650.0, 8613.3, 8637.9, 8650.4, 8585.5, 17579.0, 17749.53, 17752.55, 17555.1, 1067.19, 1062.98, 1067.57, 1062.97, 1204.65, 1204.43, 1214.69, 1201.81, 12794.05, 12779.66, 12828.93, 12792.07, 2553.73, 2533.44
2013-01-25, 1946.69, 1.89, 1.8780000000000001, 1.899, 1.8430000000000002, 171.9, 171.6, 172.2, 171.3, 61169.83, 60838.29, 1533.77, 1537.44, 1537.44, 1518.82, 2.01, 1.972, 2.021, 1.9369999999999998, 137.895, 137.63, 138.115, 137.45, 1.8519999999999999, 1.8519999999999999, 1.8519999999999999, 1.8519999999999999, 61204.0, 62140.0, 60985.0, 8665.6, 8597.2, 8673.0, 8576.4, 17756.63, 17530.64, 17765.65, 17456.35, 1069.15, 1067.87, 1070.85, 1066.55, 1196.34, 1196.94, 1200.65, 1190.8, 12823.62, 12802.32, 12863.47, 12794.05, 2556.34, 2531.21
2013-01-28, 1939.71, 1.952, 1.893, 1.952, 1.8880000000000001, 172.91, 171.8, 172.91, 171.8, 60598.45, 60379.82, 1544.02, 1533.77, 1544.8, 1526.03, 2.056, 1.999, 2.074, 1.993, 138.715, 137.78, 138.725, 137.77, 1.949, 1.949, 1.949, 1.949, 60612.5, 61750.0, 60482.5, 8724.6, 8642.6, 8734.1, 8616.3, 17726.89, 17736.05, 17876.0, 17662.88, 1075.58, 1068.55, 1075.58, 1068.55, 1196.84, 1195.22, 1199.765, 1190.03, 12816.63, 12851.52, 12875.35, 12808.66, 2573.66, 2554.66
2013-01-29, 1955.96, 1.9609999999999999, 1.962, 2.003, 1.935, 175.48, 172.86, 175.88, 172.86, 60027.07, 59921.35, 1562.93, 1544.02, 1563.93, 1543.24, 2.104, 2.075, 2.115, 2.062, 140.765, 138.68, 141.105, 138.66, 1.965, 1.965, 1.965, 1.965, 60021.0, 61360.0, 59980.0, 8672.5, 8755.9, 8755.9, 8672.5, 17897.41, 17801.79, 17924.92, 17756.1, 1091.92, 1076.03, 1094.4, 1076.03, 1197.34, 1193.5, 1198.88, 1189.26, 12815.91, 12860.36, 12859.93, 12812.06, 2584.97, 2562.57
2013-01-30, 1964.43, 1.995, 1.976, 1.999, 1.955, 174.18, 175.36, 175.61, 173.81, 60406.33, 59757.7, 1549.75, 1562.93, 1566.42, 1549.31, 2.085, 2.0909999999999997, 2.096, 2.056, 139.735, 140.67, 140.975, 139.45, 1.999, 1.999, 1.999, 1.999, 60462.0, 59850.0, 59690.0, 8643.0, 8674.4, 8690.9, 8606.8, 17891.91, 17887.16, 17937.17, 17733.28, 1084.12, 1091.62, 1093.6, 1082.3, 1186.5, 1196.95, 1197.95, 1182.07, 12830.56, 12817.4, 12849.16, 12812.99, 2580.76, 2560.61
