Date,KOSPI_Now
2013.11.29,2044.87
2013.12.2,2030.78
2013.12.3,2009.36
2013.12.4,1986.8
2013.12.5,1984.77
2013.12.6,1980.41
2013.12.9,2000.38
2013.12.10,1993.45
2013.12.11,1977.97
2013.12.12,1967.93
2013.12.13,1962.91
2013.12.16,1961.15
2013.12.17,1965.74
2013.12.18,1974.63
2013.12.19,1975.65
2013.12.20,1983.35
2013.12.23,1996.89
2013.12.24,2001.59
2013.12.26,1999.3
2013.12.27,2002.28
2013.12.30,2011.34
2013.12.31,2011.34
2014.1.2,1967.19
2014.1.3,1946.14
2014.1.6,1953.28
2014.1.7,1959.44
2014.1.8,1958.96
2014.1.9,1946.11
2014.1.10,1938.54
2014.1.13,1948.92
2014.1.14,1946.07
2014.1.15,1953.28
2014.1.16,1957.32
2014.1.17,1944.48
2014.1.20,1953.78
2014.1.21,1963.89
2014.1.22,1970.42
2014.1.23,1947.59
2014.1.24,1940.56
2014.1.27,1910.34
2014.1.28,1916.93
2014.1.29,1941.15
2014.2.3,1919.96
2014.2.4,1886.85
2014.2.5,1891.32
2014.2.6,1907.89
2014.2.7,1922.5
2014.2.10,1923.3
2014.2.11,1932.06
2014.2.12,1935.84
2014.2.13,1926.96
2014.2.14,1940.28
2014.2.17,1946.36
2014.2.18,1946.91
2014.2.19,1942.93
2014.2.20,1930.57
2014.2.21,1957.83
2014.2.24,1949.05
2014.2.25,1964.86
2014.2.26,1970.77
2014.2.27,1978.43
2014.2.28,1979.99
2014.3.3,1964.69
2014.3.4,1954.11
2014.3.5,1971.24
2014.3.6,1975.62
2014.3.7,1974.68
2014.3.10,1954.42
2014.3.11,1963.87
2014.3.12,1932.54
2014.3.13,1934.38
2014.3.14,1919.9
2014.3.17,1927.53
2014.3.18,1940.21
2014.3.19,1937.68
2014.3.20,1919.52
2014.3.21,1934.94
2014.3.24,1945.55
2014.3.25,1941.25
2014.3.26,1964.31
2014.3.27,1977.97
2014.3.28,1981
2014.3.31,1985.61
2014.4.1,1991.98
2014.4.2,1997.25
2014.4.3,1993.7
2014.4.4,1988.09
2014.4.7,1989.7
2014.4.8,1993.03
2014.4.9,1998.95
2014.4.10,2008.61
2014.4.11,1997.44
2014.4.14,1997.02
2014.4.15,1992.27
2014.4.16,1992.21
2014.4.17,1992.05
2014.4.18,2004.28
2014.4.21,1999.22
2014.4.22,2004.22
2014.4.23,2000.37
2014.4.24,1998.34
2014.4.25,1971.66
2014.4.28,1969.26
2014.4.29,1964.77
2014.4.30,1961.79
2014.5.2,1959.44
2014.5.7,1939.88
2014.5.8,1950.6
2014.5.9,1956.55
2014.5.12,1964.94
2014.5.13,1982.93
2014.5.14,2010.83
2014.5.15,2010.2
2014.5.16,2013.44
2014.5.19,2015.14
2014.5.20,2011.26
2014.5.21,2008.33
2014.5.22,2015.59
2014.5.23,2017.17
2014.5.26,2010.35
2014.5.27,1997.63
2014.5.28,2017.06
2014.5.29,2012.26
2014.5.30,1994.96
2014.6.2,2002
2014.6.3,2008.56
2014.6.5,1995.48
2014.6.9,1990.04
2014.6.10,2011.8
2014.6.11,2014.67
