@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_Open_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute DAX_Now numeric
@attribute DAX_Open numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_High numeric
@attribute EUR_KRW_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_High numeric
@attribute S&P_BMV_Low numeric
@attribute OMXS_Now numeric
@attribute OMXS_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute TA_Now numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2016-03-22, 1996.81, 443.83, 441.77, 446.98, 441.06, 6184.58, 6189.64, 6215.3, 6154.12, 9948.64, 9893.26, 10095.46, 9863.83, 1305.41, 1310.34, 1320.33, 1300.13, 45557.335, 45450.355, 45880.97, 45255.735, 1377.56, 1374.82, 9021.0, 9006.1, 9138.9, 8966.5, 18696.93, 18556.34, 18879.95, 18481.59, 1485.32, 13561.09, 13496.03, 13567.37, 13479.27, 3452.26, 3397.78
2016-03-23, 1995.12, 443.12, 441.89, 443.12, 437.05, 6192.74, 6184.58, 6193.47, 6110.39, 9990.0, 9836.28, 9990.0, 9762.57, 1298.11, 1303.71, 1310.26, 1291.93, 45632.28, 45464.53, 45632.28, 45308.3, 1382.44, 1354.39, 8992.0, 8969.3, 8992.0, 8840.4, 18698.82, 18555.03, 18698.82, 18286.08, 1488.35, 13493.49, 13527.11, 13565.41, 13493.49, 3425.31, 3370.68
2016-03-24, 1985.97, 443.36, 443.46, 445.59, 440.94, 6199.11, 6192.74, 6216.76, 6171.13, 10022.93, 10046.94, 10112.17, 9964.63, 1307.23, 1296.64, 1308.04, 1294.51, 45647.57, 45632.63, 45713.75, 45365.54, 1368.21, 1362.48, 8927.1, 9017.2, 9046.0, 8880.2, 18462.88, 18758.49, 18828.24, 18401.93, 1485.9, 13379.48, 13503.14, 13503.14, 13364.98, 3457.88, 3412.62
2016-03-25, 1983.81, 437.49, 439.95, 440.98, 435.85, 6106.48, 6199.11, 6199.11, 6090.03, 9851.35, 9974.6, 9977.99, 9845.37, 1305.73, 1305.6, 1309.23, 1298.48, 45639.54, 45639.23333333333, 45758.25333333333, 45396.556666666664, 1345.34, 1345.34, 8789.8, 8862.5, 8890.8, 8781.7, 18165.84, 18399.42, 18468.78, 18140.18, 1482.2766666666666, 13358.11, 13302.86, 13358.11, 13255.47, 3412.5, 3364.75
2016-03-28, 1982.54, 438.45, 439.92666666666673, 441.59333333333336, 436.56666666666666, 6106.286666666666, 6168.233333333333, 6184.963333333332, 6083.61, 9863.546666666667, 9950.026666666667, 9967.67, 9833.073333333334, 1305.36, 1304.1, 1311.04, 1299.42, 45631.51, 45645.83666666667, 45802.75666666667, 45427.57333333333, 1346.46, 1343.52, 8795.966666666665, 8856.066666666668, 8896.033333333333, 8771.633333333333, 18167.846666666668, 18350.12, 18468.526666666665, 18103.946666666667, 1478.6533333333334, 13374.15, 13336.1, 13376.81, 13266.34, 3409.8033333333333, 3362.94
2016-03-29, 1994.91, 439.41, 439.9033333333333, 442.20666666666665, 437.28333333333336, 6106.093333333332, 6137.3566666666675, 6170.8166666666675, 6077.190000000001, 9875.743333333334, 9925.453333333333, 9957.35, 9820.776666666667, 1305.45, 1303.71, 1310.18, 1299.36, 45623.48, 45652.44, 45847.26, 45458.59, 1347.58, 1341.7, 8802.133333333333, 8849.633333333333, 8901.266666666666, 8761.566666666668, 18169.853333333333, 18300.82, 18468.27333333333, 18067.713333333333, 1475.03, 13390.19, 13369.34, 13395.51, 13277.21, 3407.106666666666, 3361.13
2016-03-30, 2002.14, 440.37, 439.88, 442.82, 438.0, 6105.9, 6106.48, 6156.67, 6070.77, 9887.94, 9900.88, 9947.03, 9808.48, 1304.95, 1303.64, 1313.04, 1297.37, 45897.65, 45623.21, 45910.81, 45456.14, 1348.7, 1339.88, 8808.3, 8843.2, 8906.5, 8751.5, 18171.86, 18251.52, 18468.02, 18031.48, 1463.9, 13426.23, 13353.58, 13443.8, 13270.17, 3404.41, 3359.32
2016-03-31, 1995.85, 446.24, 442.28, 448.82, 442.28, 6203.17, 6105.9, 6221.8, 6105.9, 10046.61, 9951.68, 10097.7, 9947.26, 1296.89, 1303.19, 1308.58, 1289.29, 46191.51, 45894.4, 46307.61, 45808.55, 1376.83, 1348.7, 8870.2, 8874.4, 8960.7, 8856.1, 18375.32, 18256.53, 18496.63, 18256.09, 1462.52, 13503.98, 13475.37, 13574.99, 13475.37, 3431.36, 3396.98
2016-04-01, 1973.57, 440.11, 444.05, 444.05, 439.58, 6174.9, 6203.17, 6203.39, 6149.82, 9965.51, 9997.44, 10021.34, 9947.02, 1302.97, 1295.65, 1304.96, 1290.14, 45881.08, 46188.1, 46276.99, 45663.63, 1365.7, 1362.78, 8723.1, 8825.5, 8827.9, 8698.3, 18116.88, 18235.35, 18300.29, 17971.67, 1450.39, 13494.36, 13495.46, 13548.17, 13475.28, 3405.6, 3369.64
2016-04-04, 1978.97, 434.48, 434.86, 434.91, 428.51, 6146.05, 6174.9, 6174.9, 6076.89, 9794.64, 9833.26, 9851.31, 9675.5, 1307.22, 1301.61, 1317.48, 1297.88, 46062.92, 45877.39, 46068.31, 45509.09, 1358.22, 1343.27, 8602.3, 8624.6, 8677.2, 8531.8, 17776.84, 17854.7, 18084.41, 17737.84, 1451.185, 13440.44, 13404.58, 13440.84, 13323.57, 3360.47, 3316.03
