@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2017-05-15, 2290.65, 1994.58, 2003.92, 2004.03, 1983.83, 10897.0, 10861.9, 10907.6, 10836.0, 21575.45, 21536.97, 21639.5, 21485.89, 15537.88, 15550.8, 15602.95, 15505.13, 4016.11, 3993.67
2017-05-16, 2295.33, 2003.12, 1995.6, 2008.11, 1984.06, 10957.8, 10941.1, 10960.5, 10891.9, 21704.46, 21623.06, 21724.48, 21559.86, 15629.47, 15625.72, 15674.57, 15613.77, 4026.81, 4006.18
2017-05-17, 2293.08, 1992.94, 2000.2, 2002.25, 1987.21, 10982.4, 10959.8, 10991.2, 10928.3, 21787.9, 21685.29, 21828.77, 21645.87, 15543.33, 15650.01, 15700.55, 15542.57, 4014.85, 3998.62
2017-05-18, 2286.82, 1994.35, 1989.02, 1999.56, 1982.97, 10786.1, 10925.9, 10965.9, 10761.3, 21283.72, 21617.93, 21703.29, 21214.22, 15273.68, 15501.58, 15501.58, 15273.68, 4001.49, 3943.98
2017-05-19, 2288.48, 1967.66, 1989.05, 1996.85, 1961.2, 10684.9, 10727.8, 10756.5, 10564.3, 21299.26, 21236.42, 21315.89, 20808.34, 15277.2, 15229.29, 15336.59, 15164.73, 3945.3, 3874.8
2017-05-22, 2304.03, 1962.4, 1969.73, 1977.03, 1954.32, 10835.4, 10711.8, 10843.6, 10689.9, 21567.52, 21399.71, 21572.72, 21339.67, 15458.46, 15347.04, 15469.89, 15334.91, 3953.59, 3920.98
2017-05-23, 2311.74, 1950.51, 1966.66, 1966.66, 1941.78, 10793.4, 10843.5, 10851.0, 10761.4, 21318.58, 21338.3, 21404.12, 21242.75, 15467.7, 15434.045, 15504.335, 15400.405, 3932.12, 3889.79
2017-05-24, 2317.34, 1960.16, 1950.27, 1966.19, 1945.5, 10916.3, 10766.3, 10928.7, 10756.5, 21415.74, 21294.65, 21477.78, 21290.65, 15476.94, 15521.05, 15538.78, 15465.9, 3927.06, 3888.39
2017-05-25, 2342.93, 1951.98, 1958.22, 1965.95, 1936.99, 10907.4, 10931.2, 10942.8, 10882.3, 21369.73, 21373.24, 21424.83, 21289.91, 15419.49, 15470.49, 15470.49, 15326.91, 3913.5, 3890.61
2017-05-26, 2355.3, 1947.26, 1955.83, 1960.95, 1939.97, 10937.7, 10971.2, 10983.9, 10920.7, 21291.72, 21433.58, 21448.42, 21180.06, 15410.73, 15463.55, 15504.04, 15340.34, 3916.32, 3887.34
