@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute Brazil_Now numeric
@attribute Brazil_Open numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute EUR_KRW_High numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_Open numeric
@attribute CHF_KRW_High numeric
@attribute CHF_KRW_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute NZD_USD_Low numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute S&P_TSX_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2013-10-21, 2053.01, 173.94, 174.21, 174.38, 173.82, 55378.46, 55359.99, 56052.46, 55003.77, 1455.48, 136.765, 137.0, 137.085, 136.69, 1175.85, 1177.02, 1179.09, 1173.34, 54259.0, 54800.0, 55030.0, 54065.0, 0.8502, 0.8481, 0.8512, 0.8446, 1060.5, 1062.88, 1062.9, 1060.5, 13035.89, 2897.01, 2886.06
2013-10-22, 2056.12, 174.35, 173.86, 174.57, 173.76, 56077.43, 55380.32, 56109.15, 55256.84, 1455.43, 137.025, 136.71, 137.205, 136.64, 1177.6, 1174.91, 1179.42, 1173.42, 55085.0, 54400.0, 55160.0, 54280.0, 0.8452, 0.8494, 0.8507, 0.8436, 1062.25, 1060.95, 1063.85, 1060.35, 13136.09, 2906.75, 2892.11
2013-10-23, 2035.75, 173.64, 174.19, 174.78, 173.48, 56460.38, 56074.18, 56720.21, 55897.8, 1459.45, 136.455, 136.89, 137.355, 136.32, 1182.21, 1176.35, 1184.01, 1172.42, 55805.0, 55105.0, 56005.0, 54850.0, 0.8515, 0.8446, 0.8543, 0.8433, 1057.9, 1062.25, 1064.85, 1057.9, 13186.53, 2914.42, 2894.37
2013-10-24, 2046.69, 173.98, 173.5, 174.09, 173.25, 55440.03, 56458.88, 56458.88, 55379.85, 1460.14, 136.51, 136.33, 136.61, 136.05, 1186.35, 1180.95, 1187.94, 1178.09, 54611.0, 55510.0, 55600.0, 54460.0, 0.8393, 0.8511, 0.8519, 0.8356, 1058.4, 1058.04, 1059.07, 1055.75, 13226.19, 2899.9, 2885.68
2013-10-25, 2034.39, 174.75, 173.79, 174.75, 173.3, 54877.15, 55440.03, 55864.1, 54442.62, 1468.53, 137.065, 136.39, 137.085, 135.95, 1191.05, 1184.95, 1194.84, 1181.16, 53908.0, 54840.0, 55055.0, 53600.0, 0.8355, 0.8388, 0.8444, 0.8318, 1062.83, 1058.26, 1062.83, 1055.05, 13243.34, 2912.06, 2894.9
2013-10-28, 2048.14, 174.64, 174.58, 174.96, 174.31, 54154.15, 54863.43, 54910.86, 54141.4, 1470.13, 137.03, 136.93, 137.24, 136.75, 1190.28, 1189.78, 1195.27, 1184.63, 53230.0, 53800.0, 54050.0, 53120.0, 0.828, 0.8351, 0.836, 0.8267, 1062.5, 1062.38, 1064.15, 1060.88, 13315.76, 2893.38, 2871.53
2013-10-29, 2051.76, 174.47, 174.55, 174.86, 174.16, 55073.37, 54156.36, 55076.06, 54070.48, 1468.49, 136.935, 136.97, 137.205, 136.73, 1185.2, 1189.12, 1191.58, 1182.97, 54724.0, 53600.0, 54880.0, 53380.0, 0.8302, 0.8268, 0.8337, 0.8268, 1061.7, 1062.85, 1063.85, 1061.05, 13366.25, 2896.45, 2873.19
2013-10-30, 2059.58, 174.48, 174.32, 174.56, 174.03, 54538.8, 55075.8, 55266.83, 54223.63, 1467.5, 137.05, 136.82, 137.09, 136.7, 1182.34, 1184.25, 1188.0, 1179.27, 54026.0, 54555.0, 54585.0, 53660.0, 0.8256, 0.83, 0.8304, 0.8229, 1062.63, 1061.3, 1062.88, 1060.35, 13371.84, 2903.83, 2877.14
2013-10-31, 2030.09, 173.86, 174.39, 174.62, 173.64, 54172.82, 54540.57, 54764.15, 53917.28, 1461.77, 136.635, 136.99, 137.175, 136.47, 1178.18, 1181.51, 1183.23, 1172.8, 54118.0, 54205.0, 54500.0, 53650.0, 0.8266, 0.8252, 0.8287, 0.8190000000000001, 1059.42, 1063.03, 1063.5, 1059.04, 13364.95, 2907.32, 2875.85
2013-11-01, 2039.42, 174.14, 173.71, 174.22, 173.71, 54256.2, 54174.11, 54466.49, 53602.45, 1456.97, 136.885, 136.52, 136.935, 136.52, 1170.42, 1176.84, 1179.6, 1168.57, 54516.0, 53830.0, 54745.0, 53720.0, 0.8263, 0.8266, 0.831, 0.8228, 1061.28, 1059.02, 1061.6, 1059.02, 13361.26, 2905.72, 2873.99
2013-11-04, 2025.17, 174.01, 174.06, 174.71, 173.83, 54013.24, 54255.03, 54387.33, 53752.67, 1445.6, 136.915, 136.82, 137.335, 136.75, 1163.33, 1169.6, 1173.76, 1160.61, 54293.0, 54730.0, 54730.0, 53985.0, 0.8268, 0.8259, 0.8286, 0.8208, 1061.36, 1061.28, 1064.75, 1060.75, 13326.19, 2908.29, 2884.25
2013-11-05, 2013.93, 174.23, 173.93, 174.41, 173.93, 54436.92, 54014.21, 54531.03, 54008.39, 1437.37, 137.085, 136.84, 137.175, 136.84, 1167.98, 1163.15, 1168.88, 1160.13, 54772.0, 54295.0, 54865.0, 54240.0, 0.8284, 0.8257, 0.8312, 0.8238, 1062.63, 1061.16, 1063.5, 1061.16, 13309.63, 2909.8, 2895.57
2013-11-06, 2013.67, 174.1, 174.16, 174.34, 173.85, 53831.85, 54435.62, 54538.63, 53730.82, 1437.59, 136.93, 137.05, 137.18, 136.73, 1161.74, 1167.45, 1169.15, 1159.47, 53957.0, 54630.0, 54815.0, 53885.0, 0.8365, 0.8284, 0.8366, 0.8254, 1061.48, 1062.83, 1063.35, 1060.4, 13305.15, 2910.5, 2882.13
2013-11-07, 2004.04, 174.01, 174.02, 174.5, 173.89, 53384.6, 53839.76, 53856.75, 53073.47, 1436.55, 136.77, 136.87, 137.25, 136.7, 1162.01, 1161.12, 1166.25, 1160.61, 53502.0, 54200.0, 54370.0, 53220.0, 0.8377, 0.8364, 0.8414, 0.8348, 1060.22, 1061.48, 1063.95, 1060.22, 13354.28, 2936.67, 2910.64
2013-11-08, 1984.87, 174.59, 173.94, 174.66, 173.82, 52740.79, 53390.36, 53890.99, 52558.39, 1437.43, 137.185, 136.71, 137.245, 136.65, 1161.26, 1161.27, 1166.34, 1147.32, 52858.0, 53400.0, 54180.0, 52640.0, 0.8323, 0.8376, 0.8395, 0.8301, 1063.42, 1060.72, 1063.85, 1060.25, 13285.23, 2963.45, 2906.69
2013-11-11, 1977.3, 174.46, 174.43, 174.91, 174.37, 52248.86, 52738.9, 52867.92, 51735.25, 1429.91, 137.075, 137.06, 137.465, 137.0, 1153.03, 1159.9, 1163.08, 1148.24, 52340.0, 52990.0, 53020.0, 51840.0, 0.8246, 0.8321, 0.8349, 0.8224, 1062.57, 1062.92, 1065.55, 1062.55, 13291.38, 2898.03, 2868.05
2013-11-12, 1995.48, 176.07, 174.38, 176.14, 174.38, 52623.87, 52246.97, 52645.52, 52072.18, 1438.97, 138.34, 137.01, 138.4, 137.01, 1166.52, 1152.72, 1167.57, 1149.85, 52733.0, 52450.0, 52865.0, 52155.0, 0.8253, 0.8242, 0.8288, 0.8224, 1072.5, 1062.62, 1072.9, 1062.62, 13358.39, 2914.83, 2893.52
2013-11-13, 1963.56, 176.18, 175.98, 176.31, 175.39, 51804.33, 52624.45, 52811.4, 51635.66, 1443.76, 138.43, 138.27, 138.54, 137.86, 1169.75, 1165.85, 1171.89, 1161.31, 51879.0, 52625.0, 52985.0, 51540.0, 0.8222, 0.8251, 0.8263, 0.8166, 1073.25, 1072.6, 1074.09, 1069.4, 13324.7, 2914.34, 2894.07
2013-11-14, 1967.56, 175.78, 176.07, 176.39, 175.68, 52230.29, 51804.33, 52271.39, 51290.28, 1445.6, 138.14, 138.35, 138.6, 138.06, 1172.04, 1168.97, 1173.58, 1163.27, 52401.0, 51500.0, 52535.0, 51360.0, 0.8289, 0.8218, 0.8292, 0.8192, 1071.01, 1073.1, 1074.55, 1070.89, 13289.75, 2897.82, 2856.32
2013-11-15, 2005.64, 175.41, 175.7, 175.78, 174.94, 53451.6, 52232.73, 53566.32, 52232.73, 1445.81, 137.83, 138.08, 138.14, 137.47, 1166.21, 1171.42, 1173.51, 1161.75, 53577.0, 52700.0, 53800.0, 52585.0, 0.8274, 0.8288, 0.8355, 0.823, 1068.66, 1071.01, 1071.01, 1066.35, 13370.66, 2900.76, 2882.15
2013-11-18, 2010.81, 174.45, 175.33, 175.48, 174.37, 53879.32, 52842.165, 53941.74000000001, 52842.165, 1438.68, 137.065, 137.76, 137.885, 136.99, 1161.47, 1165.4, 1166.09, 1156.1, 54060.5, 53312.5, 54190.0, 53222.5, 0.8341, 0.8272, 0.8342, 0.8264, 1062.8, 1068.66, 1069.05, 1062.8, 13431.38, 2885.55, 2869.1
2013-11-19, 2031.64, 173.22, 174.37, 174.46, 173.1, 54307.04, 53451.6, 54317.16, 53451.6, 1435.52, 136.13, 137.01, 137.07, 136.02, 1155.53, 1161.29, 1162.61, 1153.46, 54544.0, 53925.0, 54580.0, 53860.0, 0.8335, 0.8331, 0.8405, 0.8321, 1055.29, 1062.8, 1062.8, 1055.04, 13441.4, 2885.31, 2865.36
2013-11-20, 2017.24, 173.2, 173.14, 173.69, 173.05, 53032.91, 54303.64, 54303.64, 52831.06, 1430.3, 136.14, 136.07, 136.48, 136.01, 1158.34, 1154.6, 1159.87, 1153.86, 53047.0, 54200.0, 54305.0, 52920.0, 0.8371, 0.8333, 0.8373, 0.8306, 1055.31, 1055.29, 1058.05, 1054.9, 13442.55, 2873.39, 2849.87
2013-11-21, 1993.78, 173.46, 173.11, 173.76, 173.04, 52860.465, 53665.11, 53665.11, 52510.66499999999, 1434.84, 136.335, 136.08, 136.575, 136.01, 1153.49, 1157.53, 1163.85, 1148.88, 52912.0, 53347.5, 53640.0, 52510.0, 0.8273, 0.8367, 0.8393, 0.8249, 1056.83, 1055.41, 1058.65, 1054.95, 13387.29, 2860.06, 2839.01
2013-11-22, 2006.23, 174.32, 173.36, 174.7, 173.36, 52688.02, 53026.58, 53026.58, 52190.27, 1433.29, 137.005, 136.26, 137.315, 136.25, 1163.46, 1152.52, 1163.72, 1151.13, 52777.0, 52495.0, 52975.0, 52100.0, 0.8205, 0.8270000000000001, 0.8274, 0.8171, 1062.12, 1056.9, 1064.42, 1056.9, 13430.14, 2851.99, 2835.31
2013-11-25, 2015.98, 174.19, 174.21, 174.5, 173.91, 52800.74, 52685.61, 53221.4, 52095.78, 1439.15, 136.905, 136.92, 137.165, 136.69, 1170.53, 1162.52, 1170.79, 1158.87, 52875.0, 52500.0, 53425.0, 52140.0, 0.8195, 0.8203, 0.8244, 0.8123, 1061.44, 1061.95, 1063.25, 1060.2, 13469.21, 2856.55, 2827.54
